[2023-01-30 11:26:54,206] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,218] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,227] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,236] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,243] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,251] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,256] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,265] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,272] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,280] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,285] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
